CHR,P,exp
6,0.746,2.851194627131124
6,0.996,2.8466941259044476
6,0.621,2.8422397844781977
6,0.871,2.8378306655731427
17,0.273,2.8334658601706924
17,0.398,2.8291444863880497
17,0.648,2.824865688408775
17,0.523,2.8206286354655203
17,0.898,2.816432520871912
17,0.773,2.8122765611007545
20,1.962,2.8081599949059224
20,1.462,2.8040820824854826
20,1.337,2.8000421046837425
20,1.212,2.7960393622300685
20,1.087,2.7920731750124674
20,1.712,2.7881428813840348
8,0.442,2.784247837500511
8,0.317,2.780387416687273
8,0.192,2.7765610088342196
8,0.067,2.7727680198170805
10,0.683,2.7690078709437738
2,1.507,2.7652799984245306
2,1.007,2.761583852864567
2,1.132,2.7579188987781618
2,1.257,2.7542846141230677
2,1.632,2.750680489854242
2,1.382,2.747106029495944
2,1.882,2.7435607487312943
2,1.757,2.740044175008457
10,0.558,2.736555847162636
16,3.449,2.7330953150531294
16,3.324,2.7296621392147356
22,0.479,2.726255890522824
11,3.152,2.7228761498714436
11,3.777,2.7195225078638554
11,3.527,2.716194564514928
12,2.427,2.7128919289648423
12,2.177,2.7096142192036066
12,2.052,2.7063610618058846
12,2.552,2.7031320916756862
12,2.302,2.699926951800475
12,2.802,2.6967452930142857
12,0.491,2.693586773769456
9,0.962,2.6904510599165974
9,0.587,2.687337824492454
9,0.837,2.6842467475153122
9,0.712,2.681177515787636
12,0.616,2.6781298227056305
12,0.866,2.6751033680754426
12,0.991,2.6720978579357175
15,0.169,2.669113004386255
3,0.548,2.6661485254225163
3,0.673,2.663204144775735
3,0.923,2.6602795917584183
3,0.798,2.657374601115011
3,3.118,2.654488912877523
6,0.213,2.6516222722259197
6,0.088,2.6487744293530935
10,1.324,2.6459451393342293
10,1.074,2.643134162000401
10,1.199,2.6403412618162307
10,1.574,2.637566207761459
10,1.449,2.6348087732162697
10,1.16,2.632068735850241
10,1.035,2.629345877514768
10,1.535,2.626639984138843
10,1.824,2.6239508456280616
10,1.66,2.6212782557667347
10,1.785,2.6186220121229944
10,1.91,2.615981915956786
15,2.121,2.6133577721306374
15,2.621,2.610749389023109
15,2.746,2.6081565784448295
15,2.371,2.605579155557019
22,0.396,2.6030169387924182
22,0.896,2.6004697497785387
22,0.271,2.5979374132631436
22,0.521,2.595419757041897
22,0.771,2.592916611888093
22,0.646,2.590427811484398
14,0.016,2.5879531923565424
4,0.068,2.585492593808886
4,0.193,2.5830458578617983
4,0.443,2.580612829190799
4,0.318,2.5781933550673863
1,3.641,2.575787285301508
1,3.266,2.5733944721856177
1,3.391,2.571014770440263
1,3.141,2.568648037161156
11,3.117,2.5662941317676786
12,2.517,2.563952915952776
11,1.9,2.5616242536341933
11,1.65,2.5593080109070123
12,2.017,2.557004055997448
12,2.142,2.5547122592178635
12,2.892,2.5524324929229647
8,2.096,2.5501646314671427
4,0.114,2.5479085511629185
8,2.846,2.5456641302404663
8,2.596,2.5434312488081745
8,2.471,2.5412097888142164
8,2.221,2.5389996340090994
8,2.721,2.5368006699091614
8,2.971,2.5346127837609855
14,2.88,2.532435864506711
14,2.38,2.5302698027502037
14,2.005,2.5281144907240685
22,1.137,2.5259698222574793
14,1.989,2.5238356927447936
14,1.489,2.521711999114938
22,1.262,2.519598639801539
22,1.762,2.5174955147137745
22,1.887,2.515402525207931
13,1.558,2.5133195740596386
13,1.308,2.5112465654367733
13,1.433,2.5091834048729997
13,1.058,2.507129999241941
13,1.933,2.5050862567319547
13,1.183,2.5030520868215014
4,0.035,2.501027400255087
4,0.16,2.4990121090197612
6,2.244,2.497006126322163
6,2.369,2.4950093665660877
